16:45:58,265 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.25751 | Ask: 1.25763)| Slow 166666 (Bid:1.2574 | Ask: 1.2575) | Delta: 0.0000100
16:45:58,459 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.25751 | Ask: 1.25765)| Slow 166666 (Bid:1.25754 | Ask: 1.25762) | Delta: -0.0001100
16:46:11,282 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.059 | Ask: 127.067)| Slow 166666 (Bid:127.054 | Ask: 127.055) | Delta: 0.0040000
16:46:11,326 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.056 | Ask: 127.065)| Slow 166666 (Bid:127.049 | Ask: 127.06) | Delta: -0.0040000
16:46:18,469 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07149 | Ask: 1.07157)| Slow 166666 (Bid:1.07158 | Ask: 1.07159) | Delta: -0.0001000
16:46:18,582 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07151 | Ask: 1.0716)| Slow 166666 (Bid:1.07158 | Ask: 1.07159) | Delta: -0.0000800
16:46:20,500 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.049 | Ask: 127.06)| Slow 166666 (Bid:127.047 | Ask: 127.048) | Delta: 0.0010000
16:46:20,544 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.049 | Ask: 127.06)| Slow 166666 (Bid:127.042 | Ask: 127.052) | Delta: -0.0030000
16:46:25,815 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07158 | Ask: 1.07168)| Slow 166666 (Bid:1.07169 | Ask: 1.0717) | Delta: -0.0001200
16:46:25,827 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07158 | Ask: 1.07168)| Slow 166666 (Bid:1.07166 | Ask: 1.07173) | Delta: -0.0001500
16:46:25,835 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07161 | Ask: 1.07168)| Slow 166666 (Bid:1.07157 | Ask: 1.0716) | Delta: 0.0000100
16:46:25,873 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07162 | Ask: 1.0717)| Slow 166666 (Bid:1.07168 | Ask: 1.07171) | Delta: -0.0000900
16:46:59,961 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07166 | Ask: 1.07176)| Slow 166666 (Bid:1.07177 | Ask: 1.07179) | Delta: -0.0001300
16:47:00,790 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07164 | Ask: 1.07173)| Slow 166666 (Bid:1.0717 | Ask: 1.07172) | Delta: -0.0000800
16:47:05,522 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07168 | Ask: 1.07175)| Slow 166666 (Bid:1.07176 | Ask: 1.07177) | Delta: -0.0000900
16:47:05,525 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07169 | Ask: 1.07177)| Slow 166666 (Bid:1.07176 | Ask: 1.07177) | Delta: -0.0000800
16:47:11,457 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07172 | Ask: 1.07179)| Slow 166666 (Bid:1.0718 | Ask: 1.07181) | Delta: -0.0000900
16:47:11,528 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07173 | Ask: 1.07181)| Slow 166666 (Bid:1.0718 | Ask: 1.07181) | Delta: -0.0000800
16:47:27,460 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25775 | Ask: 1.25786)| Slow 166666 (Bid:1.25787 | Ask: 1.25796) | Delta: -0.0002100
16:47:27,500 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25775 | Ask: 1.25789)| Slow 166666 (Bid:1.25787 | Ask: 1.25796) | Delta: -0.0002100
16:47:54,118 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.052 | Ask: 127.06)| Slow 166666 (Bid:127.062 | Ask: 127.063) | Delta: -0.0110000
16:47:54,195 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.052 | Ask: 127.061)| Slow 166666 (Bid:127.058 | Ask: 127.068) | Delta: -0.0160000
16:48:01,779 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25791 | Ask: 1.25801)| Slow 166666 (Bid:1.25804 | Ask: 1.25805) | Delta: -0.0001400
16:48:01,821 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25792 | Ask: 1.25804)| Slow 166666 (Bid:1.25804 | Ask: 1.25805) | Delta: -0.0001300
16:48:01,936 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25794 | Ask: 1.25805)| Slow 166666 (Bid:1.25806 | Ask: 1.25807) | Delta: -0.0001300
16:48:01,945 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25796 | Ask: 1.25806)| Slow 166666 (Bid:1.25806 | Ask: 1.25807) | Delta: -0.0001100
16:48:17,103 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.065 | Ask: 127.075)| Slow 166666 (Bid:127.077 | Ask: 127.078) | Delta: -0.0130000
16:48:17,153 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.066 | Ask: 127.076)| Slow 166666 (Bid:127.073 | Ask: 127.084) | Delta: -0.0180000
16:48:17,343 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.073 | Ask: 127.083)| Slow 166666 (Bid:127.064 | Ask: 127.071) | Delta: 0.0020000
16:48:18,038 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.077 | Ask: 127.089)| Slow 166666 (Bid:127.08 | Ask: 127.089) | Delta: -0.0120000
16:48:32,562 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.098 | Ask: 127.105)| Slow 166666 (Bid:127.095 | Ask: 127.096) | Delta: 0.0020000
16:48:32,570 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.096 | Ask: 127.105)| Slow 166666 (Bid:127.095 | Ask: 127.096) | Delta: 0.0000000
16:48:41,805 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07157 | Ask: 1.07163)| Slow 166666 (Bid:1.07165 | Ask: 1.07167) | Delta: -0.0001000
16:48:42,347 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07157 | Ask: 1.07163)| Slow 166666 (Bid:1.07157 | Ask: 1.07161) | Delta: -0.0000400
16:49:11,626 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07162 | Ask: 1.07171)| Slow 166666 (Bid:1.07172 | Ask: 1.07173) | Delta: -0.0001100
16:49:11,670 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07164 | Ask: 1.07172)| Slow 166666 (Bid:1.07172 | Ask: 1.07173) | Delta: -0.0000900
16:49:21,162 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07172 | Ask: 1.07182)| Slow 166666 (Bid:1.07168 | Ask: 1.07169) | Delta: 0.0000300
16:49:21,298 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07169 | Ask: 1.07179)| Slow 166666 (Bid:1.07168 | Ask: 1.07169) | Delta: 0.0000000
16:49:21,423 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07166 | Ask: 1.07174)| Slow 166666 (Bid:1.07175 | Ask: 1.07178) | Delta: -0.0001200
16:49:21,469 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07164 | Ask: 1.07174)| Slow 166666 (Bid:1.07167 | Ask: 1.0717) | Delta: -0.0000600
16:49:37,117 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.102 | Ask: 127.114)| Slow 166666 (Bid:127.116 | Ask: 127.117) | Delta: -0.0150000
16:49:37,130 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.102 | Ask: 127.114)| Slow 166666 (Bid:127.111 | Ask: 127.121) | Delta: -0.0190000
16:49:37,353 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.11 | Ask: 127.121)| Slow 166666 (Bid:127.102 | Ask: 127.109) | Delta: 0.0010000
16:49:37,378 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.11 | Ask: 127.121)| Slow 166666 (Bid:127.115 | Ask: 127.122) | Delta: -0.0120000
16:49:56,355 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25804 | Ask: 1.25817)| Slow 166666 (Bid:1.25795 | Ask: 1.25803) | Delta: 0.0000100
16:49:56,362 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25803 | Ask: 1.25817)| Slow 166666 (Bid:1.25795 | Ask: 1.25803) | Delta: 0.0000000
16:58:05,954 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.107 | Ask: 127.115)| Slow 166666 (Bid:127.102 | Ask: 127.104) | Delta: 0.0030000
16:58:06,026 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.103 | Ask: 127.114)| Slow 166666 (Bid:127.102 | Ask: 127.104) | Delta: -0.0010000
17:02:13,016 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.108 | Ask: 127.115)| Slow 166666 (Bid:127.106 | Ask: 127.107) | Delta: 0.0010000
17:02:13,089 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.104 | Ask: 127.114)| Slow 166666 (Bid:127.106 | Ask: 127.107) | Delta: -0.0030000
17:02:22,701 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25684 | Ask: 1.25693)| Slow 166666 (Bid:1.25694 | Ask: 1.25695) | Delta: -0.0001100
17:02:22,714 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25686 | Ask: 1.25699)| Slow 166666 (Bid:1.25694 | Ask: 1.25695) | Delta: -0.0000900
