15:37:21,891 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.972 | Ask: 126.973)| Slow 26015101 (Bid:126.974 | Ask: 126.98) | Delta: -0.0080000
15:37:21,979 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.972 | Ask: 126.973)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: -0.0040000
15:37:24,704 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.978 | Ask: 126.979)| Slow 26015101 (Bid:126.969 | Ask: 126.974) | Delta: 0.0040000
15:37:25,181 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.977 | Ask: 126.978)| Slow 26015101 (Bid:126.975 | Ask: 126.982) | Delta: -0.0050000
15:37:27,814 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.983)| Slow 26015101 (Bid:126.975 | Ask: 126.981) | Delta: 0.0010000
15:37:28,382 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.982 | Ask: 126.983)| Slow 26015101 (Bid:126.979 | Ask: 126.987) | Delta: -0.0050000
15:37:33,443 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.98 | Ask: 126.982)| Slow 26015101 (Bid:126.983 | Ask: 126.989) | Delta: -0.0090000
15:37:33,460 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.975 | Ask: 126.986)| Slow 26015101 (Bid:126.983 | Ask: 126.989) | Delta: -0.0140000
15:37:39,850 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.989 | Ask: 126.99)| Slow 26015101 (Bid:126.981 | Ask: 126.988) | Delta: 0.0010000
15:37:39,990 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.989 | Ask: 126.999)| Slow 26015101 (Bid:126.991 | Ask: 126.998) | Delta: -0.0090000
15:37:40,006 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.994 | Ask: 126.995)| Slow 26015101 (Bid:126.983 | Ask: 126.992) | Delta: 0.0020000
15:37:40,026 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.994 | Ask: 126.995)| Slow 26015101 (Bid:126.986 | Ask: 126.997) | Delta: -0.0030000
