19:47:34,527 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:34,527 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.0554 | 0 | -0.000129999999999963
19:47:35,133 | EURUSD | Vadim | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:35,134 | EURUSD | LMAX | Vadim | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:35,174 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05542 | 1.05531 | 0 | 0.000110000000000054
19:47:35,175 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:35,229 | EURUSD | Vadim | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:35,230 | EURUSD | LMAX | Vadim | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:35,291 | EURUSD | Vadim | LMAX | 1.05538 | 1.05531 | 0 | 7.00000000000145E-05
19:47:35,292 | EURUSD | LMAX | Vadim | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:35,309 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05543 | 1.05531 | 0 | 0.00012000000000012
19:47:35,310 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:35,326 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:35,326 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:35,466 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05543 | 1.05531 | 0 | 0.00012000000000012
19:47:35,466 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:35,510 | EURUSD | Vadim | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:35,511 | EURUSD | LMAX | Vadim | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:37,184 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:37,185 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05548 | 0 | -0.000210000000000043
19:47:38,103 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:38,104 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05547 | 0 | -0.000199999999999978
19:47:38,122 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05543 | 1.05531 | 0 | 0.00012000000000012
19:47:38,123 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:38,326 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:38,327 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:38,385 | EURUSD | Vadim | LMAX | 1.05537 | 1.05531 | 0 | 5.9999999999949E-05
19:47:38,386 | EURUSD | LMAX | Vadim | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:38,438 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
