16:36:50,803 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURPLN not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
17:03:03,467 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:04,463 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:04,565 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:04,567 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:05,563 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:05,568 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:05,570 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:06,565 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:06,667 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:07,663 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:07,665 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:07,668 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:08,764 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:08,768 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:08,771 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:09,765 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:09,873 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:10,865 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:10,869 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:10,871 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:11,866 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:11,868 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:11,966 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:12,968 | ERROR | FixApplication | FromApp field not found for tag: 273
17:03:12,970 | ERROR | FixApplication | FromApp field not found for tag: 273
